,day,Sat May 28 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-28 0:00:14,2022-05-28 16:47:25,14857112,1360.7836160000013,738501,0
,day,Fri May 27 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-27 0:00:04,2022-05-27 23:59:49,14850894,3686.5791810000046,1093469,0
,day,Thu May 26 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-26 0:00:22,2022-05-26 23:59:56,14844802,4100.059456999993,1071180,0
,day,Wed May 25 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-25 0:00:11,2022-05-25 23:59:44,14838637,3031.8287949999967,1094639,0
,day,Tue May 24 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-24 0:00:23,2022-05-24 23:59:58,14832563,2493.0597709999925,1100715,0
,day,Mon May 23 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-23 0:00:19,2022-05-23 23:59:36,14826344,2248.947919999996,1085863,0
,day,Sun May 22 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-22 0:00:12,2022-05-22 23:59:39,14820222,1970.0657859999976,1055644,0
,day,Sat May 21 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-21 0:00:03,2022-05-21 23:59:33,14814062,1756.1951850000007,1094539,0
,day,Fri May 20 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-20 0:00:09,2022-05-20 23:59:32,14807908,2513.5489020000077,1112811,0
,day,Thu May 19 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-19 0:00:10,2022-05-19 23:59:52,14801796,2226.9049179999906,1093367,0
,day,Wed May 18 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-18 0:00:41,2022-05-18 23:59:42,14795550,2387.545553999994,1177913,0
,day,Tue May 17 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-17 0:00:06,2022-05-17 23:59:41,14789265,3064.668088000004,1135718,0
,day,Mon May 16 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-16 0:00:39,2022-05-16 23:59:51,14782977,2124.026640000001,1124352,0
,day,Sun May 15 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-15 0:00:20,2022-05-15 23:59:39,14776688,2103.855103000006,1089441,0
,day,Sat May 14 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-14 0:00:11,2022-05-14 23:59:59,14770451,3117.4669890000037,1139785,0
,day,Fri May 13 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-13 0:00:05,2022-05-13 23:59:57,14764084,6894.901432999983,1342405,0
,day,Thu May 12 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-12 0:00:10,2022-05-12 23:59:36,14757896,18460.76944599996,1327755,0
,day,Wed May 11 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-11 0:00:06,2022-05-11 23:59:52,14751558,12368.406602000006,1210708,0
,day,Tue May 10 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-10 0:00:04,2022-05-10 23:59:58,14745350,5065.107806000006,1202934,0
,day,Mon May 09 2022 03:00:00 GMT+0300 (Israel Daylight Time),2022-05-09 0:00:03,2022-05-09 23:59:29,14739155,5360.375985000016,1158340,0
